"","Treatment","Year","totalbirds.m","richness.m","shannon.m","saltysparrow.m","totalsparrow.m","SALS.m","Count","totalbirds.sd","richness.sd","shannon.sd","saltysparrow.sd","totalsparrow.sd","SALS.sd"
"1","No Action",2021,7.79,5.71,1.44,0.64,1.29,0.57,7,1.84,1.21,0.22,0.3,0.63,0.28
"2","No Action",2022,7.46,5,1.33,1,1,1,12,0.96,0.49,0.11,0.36,0.36,0.36
"3","No Action",2023,8.37,5.37,1.41,1.34,1.61,1.34,19,0.86,0.46,0.07,0.49,0.51,0.49
"4","Reference",2021,7.19,4.75,1.26,1.38,1.69,0.88,8,1.32,0.86,0.17,0.55,0.69,0.36
"5","Reference",2022,7.42,4.62,1.3,1.5,1.5,1.5,13,1.07,0.46,0.09,0.4,0.4,0.4
"6","Reference",2023,12.53,5.68,1.33,3.87,4.05,3.82,19,1.27,0.54,0.11,0.76,0.77,0.75
"7","Runnel",2021,9.1,5.4,1.38,1.45,2.05,1.15,10,1.28,0.76,0.14,0.54,0.61,0.48
"8","Runnel",2022,10.18,5.36,1.38,1.54,1.71,1.54,14,1.56,0.58,0.11,0.78,0.8,0.78
"9","Runnel",2023,12.6,5.67,1.39,3.6,3.88,3.6,24,1.15,0.42,0.06,0.73,0.7,0.73
