"","Site","State","runnel_age","feeding_guild","percent_community.m","percent_community.se"
"1","Broad Cove","MA",5,"AERIAL",0,0
"2","Broad Cove","MA",5,"MARSH",86.11,2.78
"3","Broad Cove","MA",5,"Panne_Dependent",0,0
"4","Broad Cove","MA",5,"SCAVENGERS",0,0
"5","Broad Cove","MA",5,"UPLAND",13.89,2.78
"6","Broad Cove","MA",6,"AERIAL",5.56,5.56
"7","Broad Cove","MA",6,"MARSH",68.3,9.48
"8","Broad Cove","MA",6,"Panne_Dependent",20.59,20.59
"9","Broad Cove","MA",6,"SCAVENGERS",0,0
"10","Broad Cove","MA",6,"UPLAND",5.56,5.56
"11","Canonchet","RI",7,"AERIAL",0,NA
"12","Canonchet","RI",7,"MARSH",83.33,NA
"13","Canonchet","RI",7,"Panne_Dependent",0,NA
"14","Canonchet","RI",7,"SCAVENGERS",0,NA
"15","Canonchet","RI",7,"UPLAND",16.67,NA
"16","Canonchet","RI",8,"AERIAL",28.33,21.67
"17","Canonchet","RI",8,"MARSH",61.43,18.57
"18","Canonchet","RI",8,"Panne_Dependent",10.24,3.1
"19","Canonchet","RI",8,"SCAVENGERS",0,0
"20","Canonchet","RI",8,"UPLAND",0,0
"21","Essex","MA",0,"AERIAL",20.51,15.81
"22","Essex","MA",0,"MARSH",54.97,16.92
"23","Essex","MA",0,"Panne_Dependent",24.52,17.68
"24","Essex","MA",0,"SCAVENGERS",0,0
"25","Essex","MA",0,"UPLAND",0,0
"26","Essex","MA",1,"AERIAL",23.33,NA
"27","Essex","MA",1,"MARSH",46.67,NA
"28","Essex","MA",1,"Panne_Dependent",23.33,NA
"29","Essex","MA",1,"SCAVENGERS",0,NA
"30","Essex","MA",1,"UPLAND",6.67,NA
"31","Ipswich","MA",0,"AERIAL",10.71,10.71
"32","Ipswich","MA",0,"MARSH",42.86,7.14
"33","Ipswich","MA",0,"Panne_Dependent",25,25
"34","Ipswich","MA",0,"SCAVENGERS",0,0
"35","Ipswich","MA",0,"UPLAND",21.43,21.43
"36","Ipswich","MA",1,"AERIAL",0,NA
"37","Ipswich","MA",1,"MARSH",88.89,NA
"38","Ipswich","MA",1,"Panne_Dependent",11.11,NA
"39","Ipswich","MA",1,"SCAVENGERS",0,NA
"40","Ipswich","MA",1,"UPLAND",0,NA
"41","Jacob's Point","RI",5,"AERIAL",0,0
"42","Jacob's Point","RI",5,"MARSH",76.19,9.52
"43","Jacob's Point","RI",5,"Panne_Dependent",0,0
"44","Jacob's Point","RI",5,"SCAVENGERS",0,0
"45","Jacob's Point","RI",5,"UPLAND",23.81,9.52
"46","Jacob's Point","RI",7,"AERIAL",5.88,5.88
"47","Jacob's Point","RI",7,"MARSH",73.53,26.47
"48","Jacob's Point","RI",7,"Panne_Dependent",20.59,20.59
"49","Jacob's Point","RI",7,"SCAVENGERS",0,0
"50","Jacob's Point","RI",7,"UPLAND",0,0
"51","Kent's Island","MA",0,"AERIAL",30.77,30.77
"52","Kent's Island","MA",0,"MARSH",59.23,20.77
"53","Kent's Island","MA",0,"Panne_Dependent",10,10
"54","Kent's Island","MA",0,"SCAVENGERS",0,0
"55","Kent's Island","MA",0,"UPLAND",0,0
"56","Kent's Island","MA",1,"AERIAL",41.07,16.07
"57","Kent's Island","MA",1,"MARSH",54.76,11.9
"58","Kent's Island","MA",1,"Panne_Dependent",4.17,4.17
"59","Kent's Island","MA",1,"SCAVENGERS",0,0
"60","Kent's Island","MA",1,"UPLAND",0,0
"61","Middlebridge","RI",6,"AERIAL",50,50
"62","Middlebridge","RI",6,"MARSH",50,50
"63","Middlebridge","RI",6,"Panne_Dependent",0,0
"64","Middlebridge","RI",6,"SCAVENGERS",0,0
"65","Middlebridge","RI",6,"UPLAND",0,0
"66","Middlebridge","RI",7,"AERIAL",16.67,NA
"67","Middlebridge","RI",7,"MARSH",0,NA
"68","Middlebridge","RI",7,"Panne_Dependent",83.33,NA
"69","Middlebridge","RI",7,"SCAVENGERS",0,NA
"70","Middlebridge","RI",7,"UPLAND",0,NA
"71","Moody Marsh","ME",10,"AERIAL",25,25
"72","Moody Marsh","ME",10,"MARSH",75,25
"73","Moody Marsh","ME",10,"Panne_Dependent",0,0
"74","Moody Marsh","ME",10,"SCAVENGERS",0,0
"75","Moody Marsh","ME",10,"UPLAND",0,0
"76","Moody Marsh","ME",12,"AERIAL",53.57,46.43
"77","Moody Marsh","ME",12,"MARSH",7.14,7.14
"78","Moody Marsh","ME",12,"Panne_Dependent",32.14,32.14
"79","Moody Marsh","ME",12,"SCAVENGERS",0,0
"80","Moody Marsh","ME",12,"UPLAND",7.14,7.14
"81","Narrow River","RI",6,"AERIAL",12.5,12.5
"82","Narrow River","RI",6,"MARSH",18.75,18.75
"83","Narrow River","RI",6,"Panne_Dependent",68.75,31.25
"84","Narrow River","RI",6,"SCAVENGERS",0,0
"85","Narrow River","RI",6,"UPLAND",0,0
"86","Narrow River","RI",7,"AERIAL",4,4
"87","Narrow River","RI",7,"MARSH",84,16
"88","Narrow River","RI",7,"Panne_Dependent",12,12
"89","Narrow River","RI",7,"SCAVENGERS",0,0
"90","Narrow River","RI",7,"UPLAND",0,0
"91","Old Town Hill","MA",1,"AERIAL",0,0
"92","Old Town Hill","MA",1,"MARSH",50,0
"93","Old Town Hill","MA",1,"Panne_Dependent",50,0
"94","Old Town Hill","MA",1,"SCAVENGERS",0,0
"95","Old Town Hill","MA",1,"UPLAND",0,0
"96","Old Town Hill","MA",2,"AERIAL",12.5,12.5
"97","Old Town Hill","MA",2,"MARSH",67.92,5.42
"98","Old Town Hill","MA",2,"Panne_Dependent",19.58,7.08
"99","Old Town Hill","MA",2,"SCAVENGERS",0,0
"100","Old Town Hill","MA",2,"UPLAND",0,0
"101","Pine Island","MA",6,"AERIAL",0,0
"102","Pine Island","MA",6,"MARSH",37.13,21.74
"103","Pine Island","MA",6,"Panne_Dependent",62.87,21.74
"104","Pine Island","MA",6,"SCAVENGERS",0,0
"105","Pine Island","MA",6,"UPLAND",0,0
"106","Pine Island","MA",8,"AERIAL",3.91,3.91
"107","Pine Island","MA",8,"MARSH",51.3,18.21
"108","Pine Island","MA",8,"Panne_Dependent",44.79,16.44
"109","Pine Island","MA",8,"SCAVENGERS",0,0
"110","Pine Island","MA",8,"UPLAND",0,0
"111","Plum Island","MA",0,"AERIAL",29.41,NA
"112","Plum Island","MA",0,"MARSH",41.18,NA
"113","Plum Island","MA",0,"Panne_Dependent",29.41,NA
"114","Plum Island","MA",0,"SCAVENGERS",0,NA
"115","Plum Island","MA",0,"UPLAND",0,NA
"116","Plum Island","MA",2,"AERIAL",2.94,2.94
"117","Plum Island","MA",2,"MARSH",72.35,7.65
"118","Plum Island","MA",2,"Panne_Dependent",24.71,4.71
"119","Plum Island","MA",2,"SCAVENGERS",0,0
"120","Plum Island","MA",2,"UPLAND",0,0
"121","Plum Island","MA",3,"AERIAL",7.14,7.14
"122","Plum Island","MA",3,"MARSH",50.13,9.95
"123","Plum Island","MA",3,"Panne_Dependent",40.34,7.24
"124","Plum Island","MA",3,"SCAVENGERS",0,0
"125","Plum Island","MA",3,"UPLAND",2.38,2.38
"126","Plum Island","MA",4,"AERIAL",28.08,6.4
"127","Plum Island","MA",4,"MARSH",48.24,7.57
"128","Plum Island","MA",4,"Panne_Dependent",23.69,8
"129","Plum Island","MA",4,"SCAVENGERS",0,0
"130","Plum Island","MA",4,"UPLAND",0,0
"131","Plum Island","MA",6,"AERIAL",0,NA
"132","Plum Island","MA",6,"MARSH",100,NA
"133","Plum Island","MA",6,"Panne_Dependent",0,NA
"134","Plum Island","MA",6,"SCAVENGERS",0,NA
"135","Plum Island","MA",6,"UPLAND",0,NA
"136","Potter's Pond","RI",3,"AERIAL",3.57,3.57
"137","Potter's Pond","RI",3,"MARSH",49.21,6.35
"138","Potter's Pond","RI",3,"Panne_Dependent",25,25
"139","Potter's Pond","RI",3,"SCAVENGERS",0,0
"140","Potter's Pond","RI",3,"UPLAND",22.22,22.22
"141","Potter's Pond","RI",5,"AERIAL",4.17,4.17
"142","Potter's Pond","RI",5,"MARSH",54.58,0.42
"143","Potter's Pond","RI",5,"Panne_Dependent",39.17,5.83
"144","Potter's Pond","RI",5,"SCAVENGERS",0,0
"145","Potter's Pond","RI",5,"UPLAND",2.08,2.08
"146","Round Marsh","RI",7,"AERIAL",13.89,2.78
"147","Round Marsh","RI",7,"MARSH",52.78,2.78
"148","Round Marsh","RI",7,"Panne_Dependent",5.56,5.56
"149","Round Marsh","RI",7,"SCAVENGERS",0,0
"150","Round Marsh","RI",7,"UPLAND",27.78,5.56
"151","Round Marsh","RI",9,"AERIAL",4.55,4.55
"152","Round Marsh","RI",9,"MARSH",60.86,16.41
"153","Round Marsh","RI",9,"Panne_Dependent",17.93,4.29
"154","Round Marsh","RI",9,"SCAVENGERS",0,0
"155","Round Marsh","RI",9,"UPLAND",16.67,16.67
"156","Sapowet","RI",0,"AERIAL",0,NA
"157","Sapowet","RI",0,"MARSH",0,NA
"158","Sapowet","RI",0,"Panne_Dependent",30.43,NA
"159","Sapowet","RI",0,"SCAVENGERS",0,NA
"160","Sapowet","RI",0,"UPLAND",0,NA
"161","Sapowet","RI",1,"AERIAL",0,0
"162","Sapowet","RI",1,"MARSH",69.05,2.38
"163","Sapowet","RI",1,"Panne_Dependent",30.95,2.38
"164","Sapowet","RI",1,"SCAVENGERS",0,0
"165","Sapowet","RI",1,"UPLAND",0,0
"166","Sapowet","RI",4,"AERIAL",40.94,25.72
"167","Sapowet","RI",4,"MARSH",38.41,5.07
"168","Sapowet","RI",4,"Panne_Dependent",5.43,5.43
"169","Sapowet","RI",4,"SCAVENGERS",0,0
"170","Sapowet","RI",4,"UPLAND",0,0
"171","Sapowet","RI",5,"AERIAL",38.34,22.95
"172","Sapowet","RI",5,"MARSH",56.2,20.72
"173","Sapowet","RI",5,"Panne_Dependent",5.46,2.23
"174","Sapowet","RI",5,"SCAVENGERS",0,0
"175","Sapowet","RI",5,"UPLAND",0,0
"176","Weekapaug Foundation","RI",4,"AERIAL",0,NA
"177","Weekapaug Foundation","RI",4,"MARSH",60,NA
"178","Weekapaug Foundation","RI",4,"Panne_Dependent",0,NA
"179","Weekapaug Foundation","RI",4,"SCAVENGERS",0,NA
"180","Weekapaug Foundation","RI",4,"UPLAND",40,NA
"181","Weekapaug Foundation","RI",6,"AERIAL",5.56,5.56
"182","Weekapaug Foundation","RI",6,"MARSH",46.67,13.33
"183","Weekapaug Foundation","RI",6,"Panne_Dependent",37.78,17.78
"184","Weekapaug Foundation","RI",6,"SCAVENGERS",0,0
"185","Weekapaug Foundation","RI",6,"UPLAND",0,0
"186","Winnapaug Town Land","RI",8,"AERIAL",0,NA
"187","Winnapaug Town Land","RI",8,"MARSH",50,NA
"188","Winnapaug Town Land","RI",8,"Panne_Dependent",0,NA
"189","Winnapaug Town Land","RI",8,"SCAVENGERS",0,NA
"190","Winnapaug Town Land","RI",8,"UPLAND",50,NA
"191","Winnapaug Town Land","RI",10,"AERIAL",22.22,22.22
"192","Winnapaug Town Land","RI",10,"MARSH",52.22,7.78
"193","Winnapaug Town Land","RI",10,"Panne_Dependent",25.56,14.44
"194","Winnapaug Town Land","RI",10,"SCAVENGERS",0,0
"195","Winnapaug Town Land","RI",10,"UPLAND",0,0
